Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
749112,Soccer -Regulation,02/03/2024 01:00:00 PM,02/03/2024 10:00:00 PM,Parks Department,Sport - Youth,Staten Island,Fairview Park: Multi-Purpose Field-01,,N/A,"3,","123,"
755323,Miscellaneous,05/23/2024 10:00:00 AM,05/23/2024 02:00:00 PM,Parks Department,Special Event,Brooklyn,"Manhattan Beach Park: Picnic Area 01   ,Manhattan Beach Park: Pat Parlato Playground Lawn Area",,N/A,"15,","61,"
745404,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Queens,Flushing Meadows Corona Park: Soccer-05,,N/A,"81,","110,"
740937,Soccer - Non Regulation,02/03/2024 12:00:00 PM,02/03/2024 05:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Bill Brown Playground: Soccer-01,,N/A,"15,","61,"
748038,Hockey,02/04/2024 08:00:00 AM,02/04/2024 06:00:00 PM,Parks Department,Sport - Adult,Manhattan,William F. Passannante Ballfield: Softball-01,,N/A,"02,","6,"
753861,Celebration,02/14/2024 11:00:00 AM,02/14/2024 12:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bethesda Fountain Terrace,,N/A,"64,","22,"
754535,Model Aircraft Flying Field,02/04/2024 07:00:00 AM,02/04/2024 11:00:00 PM,Parks Department,Special Event,Staten Island,LaTourette Park & Golf Course: Model Airplane Field,,N/A,"2,","122,"
753528,RIPA Events,02/04/2024 06:00:00 AM,02/04/2024 11:00:00 PM,Parks Department,Special Event,Manhattan,Randall's Island Park: Soccer-10,,N/A,"11,","25,"
744747,Sunday Holy Hour - religious event,02/04/2024 09:00:00 AM,02/04/2024 01:00:00 PM,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,N/A,"81,","110,"
744668,Soccer -Regulation,02/03/2024 08:00:00 PM,02/03/2024 10:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Calvert Vaux Park: Soccer-01,,N/A,"13,","60,"
753683,Celebration,02/16/2024 11:00:00 AM,02/16/2024 01:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bethesda Fountain Terrace,,N/A,"64,","22,"
739845,Lawn closure - East 106,02/04/2024 12:00:00 AM,02/04/2024 11:59:00 PM,Parks Department,Special Event,Manhattan,Central Park: East 106th St Lawn,,N/A,"64,","22,"
744501,Soccer - Non Regulation,02/04/2024 10:00:00 AM,02/04/2024 03:00:00 PM,Parks Department,Sport - Youth,Queens,Flushing Meadows Corona Park: Soccer-03,,N/A,"81,","110,"
741035,Soccer -Regulation,02/04/2024 08:00:00 AM,02/04/2024 08:00:00 PM,Parks Department,Sport - Youth,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Soccer-10",,N/A,"11,","25,"
753999,Miscellaneous,05/24/2024 09:00:00 AM,05/24/2024 02:00:00 PM,Parks Department,Special Event,Queens,"Juniper Valley Park: Softball-04   ,Juniper Valley Park: Baseball-01",,N/A,"05,","104,"
740804,Soccer - Non Regulation,02/03/2024 11:00:00 AM,02/03/2024 05:00:00 PM,Parks Department,Sport - Adult,Manhattan,"James J Walker Park: Soccer-01 ,Peter's Field: Soccer-01",,N/A,"06, 2,","13, 6,"
753972,Soccer -Regulation,02/03/2024 08:00:00 PM,02/03/2024 09:30:00 PM,Parks Department,Sport - Adult,Brooklyn,McCarren Park: Soccer-01,,N/A,"01,","94,"
745003,Softball - Adults,02/04/2024 09:00:00 AM,02/04/2024 11:00:00 AM,Parks Department,Sport - Adult,Manhattan,Baruch Playground: Football-01,,N/A,"03,","7,"
752759,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 09:00:00 AM,Parks Department,Sport - Youth,Brooklyn,Kaiser Park: Football-01,,N/A,"13,","60,"
689170,Miscellaneous,02/04/2024 10:00:00 AM,02/04/2024 06:00:00 PM,Parks Department,Sport - Youth,Brooklyn,"Newtown Barge Playground: Softball -01   (8 y/o and younger only) ,Newtown Barge Playground: Soccer -01   (8 y/o and younger only)  ,Newtown Barge Playground: Soccer -02  ( 8 y/o and younger only)",,N/A,"01, 1,","94,"
750585,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 10:30:00 AM,Parks Department,Sport - Youth,Manhattan,Peter's Field: Soccer-01,,N/A,"06,","13,"
751692,Carroll Gardens Greenmarket Sunday,02/04/2024 08:00:00 AM,02/04/2024 05:00:00 PM,Street Activity Permit Office,Farmers Market,Brooklyn,CARROLL STREET between COURT STREET and SMITH STREET,Both,Sidewalk and Curb Lane Closure,"6,","76,"
755987,Football - Youth,02/03/2024 11:00:00 AM,02/03/2024 08:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Kaiser Park: Football-01,,N/A,"13,","60,"
746131,Soccer -Regulation,02/04/2024 04:30:00 AM,02/04/2024 08:00:00 PM,Parks Department,Sport - Youth,Bronx,Macombs Dam Park: Soccer-01,,N/A,"04,","44,"
